,data_size,data_id,mini_batch,damping_factor,n_conditions,cosine_shift,n_steps,median_global,median_local,rmse_global,c_error_global,contractions_global,rmse_local,c_error_local,contractions_local,median
0,16,0,1,1,1,0,7472.333333333333,[-0.70177734 -0.06913419  2.5910745 ],"[ 0.37200046 -0.6612991  -0.9387404  -0.4436732   0.43113208 -0.77717483
 -0.60905904  0.44042075 -0.24769479 -0.71453005 -0.24867678 -0.6643089
  0.2433871  -0.59421456 -0.17964512 -0.92350435]",0.11245056,0.20877192982456147,0.8981688,0.45115596,0.30937500000000007,0.299578,
1,16,1,1,1,1,0,7472.333333333333,[-0.31618327  0.21891437 -0.0279145 ],"[ 0.6000041   0.20438766  0.1020298   0.24823701 -0.01384062  0.3946575
 -0.37569398  0.1017381  -0.094791   -0.2115432  -0.14560443 -0.18313092
 -0.27776068  0.330971   -0.366826   -0.146178  ]",0.11245056,0.20877192982456147,0.8981688,0.45115596,0.30937500000000007,0.299578,
2,16,2,1,1,1,0,7472.333333333333,[1.0027889  0.08085044 0.1417102 ],"[ 0.23039567 -0.6372888   0.13682675  0.697894   -0.05418575  0.40013385
 -0.20379049 -0.73813915 -0.5424726  -0.43168044 -0.38539588 -0.7007289
 -0.7503539  -0.08181399 -0.48516494 -0.35958833]",0.11245056,0.20877192982456147,0.8981688,0.45115596,0.30937500000000007,0.299578,
3,16,3,1,1,1,0,7472.333333333333,[-0.1692459  -1.5648686   0.44267523],"[-0.02516818 -0.04599696  0.31455147 -0.08797181  0.06536973 -0.23726362
 -0.48698115 -0.13985455  0.50554574 -0.36602437  0.4951718   0.00056517
  0.542348   -0.02938658  0.06553197 -0.12140757]",0.11245056,0.20877192982456147,0.8981688,0.45115596,0.30937500000000007,0.299578,
4,16,4,1,1,1,0,7472.333333333333,[ 0.08399917 -0.8814939   0.39199126],"[-0.4520082  -0.23938143  0.1619327  -0.55553144 -0.07869875 -0.26573884
 -0.08683538  0.37658095  0.01545811  0.14893818 -0.03087282 -0.0301826
 -0.29978347  0.4191196  -0.02985847  0.71258223]",0.11245056,0.20877192982456147,0.8981688,0.45115596,0.30937500000000007,0.299578,
5,16,5,1,1,1,0,7472.333333333333,[ 1.347449    0.61096233 -0.48171124],"[-0.90747875 -0.06221527 -0.22185665  0.10818577 -0.12918317 -0.976316
  0.60557234  0.01351762  0.42555737 -0.47699136 -0.10705155 -0.0679087
 -0.09503162  0.70449114 -0.7297205  -0.44257087]",0.11245056,0.20877192982456147,0.8981688,0.45115596,0.30937500000000007,0.299578,
6,16,6,1,1,1,0,7472.333333333333,[-1.9220427   0.03503923 -1.3676418 ],"[-0.4980892   0.27552474  0.08581328 -0.5377032   0.18755507 -0.908518
 -0.06488311 -0.2576272   0.69564116 -0.22331041  0.03051937 -0.2591763
 -0.78938377  0.3633126   0.1219368  -0.03396326]",0.11245056,0.20877192982456147,0.8981688,0.45115596,0.30937500000000007,0.299578,
7,16,7,1,1,1,0,7472.333333333333,[ 0.15003997 -1.7477087  -0.07369389],"[ 0.12219834  0.89734113 -0.07602078  0.16458535  0.71758854  0.12245083
 -0.5195657   0.5219554   0.7218274   0.6113044  -0.23560125  0.31924593
  0.25741518  0.21193182  0.20325685  0.0794307 ]",0.11245056,0.20877192982456147,0.8981688,0.45115596,0.30937500000000007,0.299578,
8,16,8,1,1,1,0,7472.333333333333,[ 0.6612168  -0.107555    0.19547391],"[ 0.31539667 -0.6956333  -0.13546807 -0.24033123 -0.2833867  -0.64800745
  0.00420272  0.01065075 -0.5773821  -0.15842986  0.01129055  0.32781494
 -0.43578655  0.75412273 -0.38571548 -0.98395133]",0.11245056,0.20877192982456147,0.8981688,0.45115596,0.30937500000000007,0.299578,
9,16,9,1,1,1,0,7472.333333333333,[-1.2862605  -0.69038653 -0.15273519],"[-0.5708755   0.23990941  0.09602976  0.709371    0.8943614   0.43602383
  0.1188916   0.6159469   0.2820127   0.35739398  0.07762337 -0.3541054
 -0.46972597 -0.07737279 -0.52971745  0.13511276]",0.11245056,0.20877192982456147,0.8981688,0.45115596,0.30937500000000007,0.299578,
10,16,10,1,1,1,0,7472.333333333333,[-1.2094744  0.8749589 -0.2906077],"[-0.8947509  -0.78743666 -0.7304771  -0.6922857  -0.88868695 -0.13675421
 -0.15012932 -0.30716318 -0.7287361  -0.25007212  0.19985604 -0.7834081
 -0.58765125 -0.62802815 -0.22609591 -0.58735996]",0.11245056,0.20877192982456147,0.8981688,0.45115596,0.30937500000000007,0.299578,
