,data_size,data_id,mini_batch,damping_factor,n_conditions,cosine_shift,n_steps,kl,median,median_rmse,c_error,contractions,rel_contraction
0,10,0,1,1,1,0,94.16,128.0019941403119,"[-0.00080515 -0.01673619 -0.01362826 -0.0055336   0.02317463 -0.04551854
 -0.02431217  0.00592322  0.00256103 -0.0278625 ]",0.5642716,0.14,0.0,0.0
1,10,1,1,1,1,0,94.16,129.45675761820243,"[ 0.01383485 -0.06150521 -0.03013694  0.02733141  0.07968482 -0.04117682
 -0.04819335  0.00399342  0.02428047 -0.07636786]",0.5642716,0.14,0.0,0.0
2,10,2,1,1,1,0,94.16,128.7962851643748,"[-0.04450503  0.02886863  0.02591392 -0.00852403 -0.0158869   0.00407854
 -0.00138409  0.00982856 -0.01819693  0.04819536]",0.5642716,0.14,0.0,0.0
3,10,3,1,1,1,0,94.16,128.0711860409052,"[-0.03933614  0.00363304  0.02337222 -0.02128172 -0.04207634 -0.04663911
  0.00255053 -0.0048061  -0.00931096  0.03330955]",0.5642716,0.14,0.0,0.0
4,10,4,1,1,1,0,94.16,128.87194409151957,"[ 0.00390142 -0.02916002  0.01863626  0.0135347   0.02388352 -0.02804564
  0.01408108 -0.01864521  0.0239113  -0.04967162]",0.5642716,0.14,0.0,0.0
5,10,5,1,1,1,0,94.16,128.30244880457704,"[-0.02129904  0.02285578 -0.00607102 -0.01728331 -0.02458759  0.00817026
 -0.03376521  0.03314393 -0.01253945  0.0601179 ]",0.5642716,0.14,0.0,0.0
6,10,6,1,1,1,0,94.16,129.03641077593895,"[ 0.00459643 -0.03475982  0.00825812  0.01414145  0.02835312 -0.05296955
 -0.03018539 -0.00508339  0.05154236 -0.04321254]",0.5642716,0.14,0.0,0.0
7,10,7,1,1,1,0,94.16,127.81271768443288,"[-0.01224298  0.02175736 -0.00900722  0.01822565  0.02186666 -0.02188058
 -0.02911117  0.00837447 -0.00129147 -0.03357582]",0.5642716,0.14,0.0,0.0
8,10,8,1,1,1,0,94.16,127.71755144947333,"[-0.02479823  0.03089568 -0.01549981 -0.00826395 -0.0081266   0.00480114
  0.01006746  0.01619031  0.02341826  0.00809768]",0.5642716,0.14,0.0,0.0
9,10,9,1,1,1,0,94.16,128.70679121396418,"[-0.02912023  0.05858445  0.02955106 -0.04714766 -0.05917954  0.01178466
  0.00946116 -0.01524919  0.00432565  0.08388001]",0.5642716,0.14,0.0,0.0
10,10,10,1,1,1,0,94.16,128.79737549206035,"[-0.01859701  0.05330309  0.04424569 -0.01967905 -0.03581404 -0.01680638
  0.01027066  0.01244825 -0.0102741   0.06662989]",0.5642716,0.14,0.0,0.0
